"","surv_date.u","site_id","transect_id","site_name","site.trans","urchin_dens","surv_area.u","year","semester","year.sem","surv_date.k","kelp_dens","surv_area.k","patch"
"1",2000-09-08,"a-l-05","c-l-00019","CARP","CARP.1",10,6,2000,"2",2000-07-01,2000-09-08,0.525,80,132
"2",2000-09-08,"a-l-05","c-l-00020","CARP","CARP.6",131.166666666667,6,2000,"2",2000-07-01,2000-09-08,0,80,132
"3",2000-09-08,"a-l-05","c-l-00021","CARP","CARP.7",67.5,6,2000,"2",2000-07-01,2000-09-08,0,80,132
"4",2000-09-08,"a-l-05","c-l-00022","CARP","CARP.2",28.8333333333333,6,2000,"2",2000-07-01,2000-09-08,0.0375,80,131
"5",2000-09-08,"a-l-05","c-l-00023","CARP","CARP.4",165.333333333333,6,2000,"2",2000-07-01,2000-09-08,0,80,132
"6",2000-09-08,"a-l-05","c-l-00024","CARP","CARP.8",115.333333333333,6,2000,"2",2000-07-01,2000-09-08,0,80,131
"7",2000-09-08,"a-l-05","c-l-00025","CARP","CARP.3",34,6,2000,"2",2000-07-01,2000-09-08,0,80,132
"8",2000-09-08,"a-l-05","c-l-00026","CARP","CARP.5",47,6,2000,"2",2000-07-01,2000-09-08,0,80,131
"9",2000-09-18,"a-l-09","c-l-00039","NAPL","NAPL.1",65.6666666666667,6,2000,"2",2000-07-01,2000-09-18,0,80,160
"10",2000-09-18,"a-l-09","c-l-00041","NAPL","NAPL.2",68.3333333333333,6,2000,"2",2000-07-01,2000-09-18,0,80,160
"11",2000-09-18,"a-l-09","c-l-00043","NAPL","NAPL.3",57,6,2000,"2",2000-07-01,2000-09-18,0,80,160
"12",2000-09-18,"a-l-09","c-l-00045","NAPL","NAPL.4",9.66666666666667,6,2000,"2",2000-07-01,2000-09-18,0,80,160
"13",2000-09-22,"a-l-09","c-l-00040","NAPL","NAPL.8",32.5,6,2000,"2",2000-07-01,2000-09-22,0,80,160
"14",2000-09-22,"a-l-09","c-l-00042","NAPL","NAPL.6",31.6666666666667,6,2000,"2",2000-07-01,2000-09-22,0.125,40,160
"15",2000-09-22,"a-l-09","c-l-00044","NAPL","NAPL.5",90.3333333333333,6,2000,"2",2000-07-01,2000-09-22,0,80,160
"16",2000-09-22,"a-l-09","c-l-00046","NAPL","NAPL.7",68.6666666666667,6,2000,"2",2000-07-01,2000-09-22,0,80,160
"17",2000-09-28,"a-l-04","c-l-00011","BULL","BULL.3",0,6,2000,"2",2000-07-01,2000-09-28,0.075,80,190
"18",2000-09-28,"a-l-04","c-l-00013","BULL","BULL.1",33.5,6,2000,"2",2000-07-01,2000-09-28,0.0875,80,190
"19",2000-09-28,"a-l-04","c-l-00014","BULL","BULL.6",0,6,2000,"2",2000-07-01,2000-09-28,0.45,80,190
"20",2001-08-07,"a-l-08","c-l-00037","MOHK","MOHK.2",18.8333333333333,6,2001,"2",2001-07-01,2001-08-07,0.2625,80,145
"21",2001-08-07,"a-l-08","c-l-00038","MOHK","MOHK.1",22.8333333333333,6,2001,"2",2001-07-01,2001-08-07,0.5875,80,145
"22",2001-08-08,"a-l-05","c-l-00020","CARP","CARP.6",61,6,2001,"2",2001-07-01,2001-08-08,0,80,132
"23",2001-08-08,"a-l-05","c-l-00023","CARP","CARP.4",98.5,6,2001,"2",2001-07-01,2001-08-08,0,80,132
"24",2001-08-08,"a-l-05","c-l-00025","CARP","CARP.3",34,6,2001,"2",2001-07-01,2001-08-08,0,80,132
"25",2001-08-09,"a-l-09","c-l-00039","NAPL","NAPL.1",47.8333333333333,6,2001,"2",2001-07-01,2001-08-09,0,80,160
"26",2001-08-09,"a-l-09","c-l-00041","NAPL","NAPL.2",37.8333333333333,6,2001,"2",2001-07-01,2001-08-09,0,80,160
"27",2001-08-09,"a-l-09","c-l-00043","NAPL","NAPL.3",36,6,2001,"2",2001-07-01,2001-08-09,0,80,160
"28",2001-08-09,"a-l-09","c-l-00045","NAPL","NAPL.4",2.16666666666667,6,2001,"2",2001-07-01,2001-08-09,0,80,160
"29",2001-08-14,"a-l-06","c-l-00027","GOLB","GOLB.2",2.83333333333333,6,2001,"2",2001-07-01,2001-08-14,0.05,80,150
