"","Site","year","quarter","year.qtr","waveht"
"1",1,1995,1,"1995.1",3.66
"2",1,1995,2,"1995.2",1.79
"3",1,1995,3,"1995.3",1.46
"4",1,1995,4,"1995.4",2.95
"5",1,1996,1,"1996.1",2.15
"6",1,1996,2,"1996.2",1.61
"7",1,1996,3,"1996.3",1.47
"8",1,1996,4,"1996.4",1.78
"9",1,1997,1,"1997.1",2.27
"10",1,1997,2,"1997.2",1.46
"11",1,1997,3,"1997.3",1.58
"12",1,1997,4,"1997.4",2.51
"13",1,1998,1,"1998.1",4.21
"14",1,1998,2,"1998.2",1.87
"15",1,1998,3,"1998.3",1.36
"16",1,1998,4,"1998.4",2.01
"17",1,1999,1,"1999.1",1.86
"18",1,1999,2,"1999.2",1.57
"19",1,1999,3,"1999.3",1.3
"20",1,1999,4,"1999.4",2.02
"21",1,2000,1,"2000.1",2.99
"22",1,2000,2,"2000.2",1.46
"23",1,2000,3,"2000.3",1.26
"24",1,2000,4,"2000.4",2.31
"25",1,2001,1,"2001.1",3.08
"26",1,2001,2,"2001.2",1.41
"27",1,2001,3,"2001.3",1.16
"28",1,2001,4,"2001.4",3.14
"29",1,2002,1,"2002.1",2.31
"30",1,2002,2,"2002.2",1.32
"31",1,2002,3,"2002.3",1.21
"32",1,2002,4,"2002.4",3.51
"33",1,2003,1,"2003.1",2.39
"34",1,2003,2,"2003.2",1.45
"35",1,2003,3,"2003.3",1.22
"36",1,2003,4,"2003.4",2.1
"37",1,2004,1,"2004.1",2.65
"38",1,2004,2,"2004.2",1.95
"39",1,2004,3,"2004.3",1.34
"40",1,2004,4,"2004.4",2.04
"41",1,2005,1,"2005.1",2.6
"42",1,2005,2,"2005.2",1.6
"43",1,2005,3,"2005.3",2.22
"44",1,2005,4,"2005.4",3.98
"45",1,2006,1,"2006.1",2.56
"46",1,2006,2,"2006.2",2.16
"47",1,2006,3,"2006.3",1.4
"48",1,2006,4,"2006.4",2.69
"49",1,2007,1,"2007.1",2.03
"50",1,2007,2,"2007.2",2.44
"51",1,2007,3,"2007.3",1.34
"52",1,2007,4,"2007.4",5.22
"53",1,2008,1,"2008.1",5.38
"54",1,2008,2,"2008.2",1.48
"55",1,2008,3,"2008.3",1.37
"56",1,2008,4,"2008.4",1.7
"57",2,1995,1,"1995.1",2.27
"58",2,1995,2,"1995.2",2.18
"59",2,1995,3,"1995.3",1.39
"60",2,1995,4,"1995.4",2.4
"61",2,1996,1,"1996.1",1.92
"62",2,1996,2,"1996.2",1.47
"63",2,1996,3,"1996.3",1.19
"64",2,1996,4,"1996.4",2.01
"65",2,1997,1,"1997.1",2.09
"66",2,1997,2,"1997.2",1.48
"67",2,1997,3,"1997.3",1.67
"68",2,1997,4,"1997.4",1.85
"69",2,1998,1,"1998.1",2.96
"70",2,1998,2,"1998.2",1.87
"71",2,1998,3,"1998.3",1.01
"72",2,1998,4,"1998.4",2.26
"73",2,1999,1,"1999.1",2.2
"74",2,1999,2,"1999.2",2.27
"75",2,1999,3,"1999.3",0.81
"76",2,1999,4,"1999.4",2.61
"77",2,2000,1,"2000.1",2.31
"78",2,2000,2,"2000.2",1.48
"79",2,2000,3,"2000.3",0.98
"80",2,2000,4,"2000.4",2.43
"81",2,2001,1,"2001.1",2.49
"82",2,2001,2,"2001.2",2.05
"83",2,2001,3,"2001.3",1.46
