"","site.trans","year","quarter","year.qtr","waveht"
"1","ABUR.1",1995,1,"1995.1",2.15
"2","ABUR.1",1995,2,"1995.2",1.31
"3","ABUR.1",1995,3,"1995.3",0.92
"4","ABUR.1",1995,4,"1995.4",1.69
"5","ABUR.1",1996,1,"1996.1",1.81
"6","ABUR.1",1996,2,"1996.2",1.16
"7","ABUR.1",1996,3,"1996.3",0.93
"8","ABUR.1",1996,4,"1996.4",1.44
"9","ABUR.1",1997,1,"1997.1",1.82
"10","ABUR.1",1997,2,"1997.2",1.24
"11","ABUR.1",1997,3,"1997.3",0.9
"12","ABUR.1",1997,4,"1997.4",1.67
"13","ABUR.1",1998,1,"1998.1",2.39
"14","ABUR.1",1998,2,"1998.2",1.49
"15","ABUR.1",1998,3,"1998.3",0.95
"16","ABUR.1",1998,4,"1998.4",1.26
"17","ABUR.1",1999,1,"1999.1",1.27
"18","ABUR.1",1999,2,"1999.2",1.38
"19","ABUR.1",1999,3,"1999.3",0.95
"20","ABUR.1",1999,4,"1999.4",1.04
"21","ABUR.1",2000,1,"2000.1",1.87
"22","ABUR.1",2000,2,"2000.2",1.21
"23","ABUR.1",2000,3,"2000.3",0.92
"24","ABUR.1",2000,4,"2000.4",1.18
"25","ABUR.1",2001,1,"2001.1",1.74
"26","ABUR.1",2001,2,"2001.2",1.2
"27","ABUR.1",2001,3,"2001.3",0.93
"28","ABUR.1",2001,4,"2001.4",2
"29","ABUR.1",2002,1,"2002.1",1.33
"30","ABUR.1",2002,2,"2002.2",1.14
"31","ABUR.1",2002,3,"2002.3",0.94
"32","ABUR.1",2002,4,"2002.4",1.86
"33","ABUR.1",2003,1,"2003.1",1.43
"34","ABUR.1",2003,2,"2003.2",1.11
"35","ABUR.1",2003,3,"2003.3",0.99
"36","ABUR.1",2003,4,"2003.4",1.31
"37","ABUR.1",2004,1,"2004.1",1.65
"38","ABUR.1",2004,2,"2004.2",1.28
"39","ABUR.1",2004,3,"2004.3",1.15
"40","ABUR.1",2004,4,"2004.4",1.25
"41","ABUR.1",2005,1,"2005.1",2.26
"42","ABUR.1",2005,2,"2005.2",1.37
"43","ABUR.1",2005,3,"2005.3",1.01
"44","ABUR.1",2005,4,"2005.4",2.65
"45","ABUR.1",2006,1,"2006.1",2.15
"46","ABUR.1",2006,2,"2006.2",1.94
"47","ABUR.1",2006,3,"2006.3",1.14
"48","ABUR.1",2006,4,"2006.4",1.61
"49","ABUR.1",2007,1,"2007.1",1.37
"50","ABUR.1",2007,2,"2007.2",1.38
"51","ABUR.1",2007,3,"2007.3",1.2
"52","ABUR.1",2007,4,"2007.4",3.31
"53","ABUR.1",2008,1,"2008.1",2.79
"54","ABUR.1",2008,2,"2008.2",1.42
"55","ABUR.1",2008,3,"2008.3",1.14
"56","ABUR.1",2008,4,"2008.4",1.33
"57","ABUR.2",1995,1,"1995.1",2.15
"58","ABUR.2",1995,2,"1995.2",1.31
"59","ABUR.2",1995,3,"1995.3",0.92
"60","ABUR.2",1995,4,"1995.4",1.69
"61","ABUR.2",1996,1,"1996.1",1.81
"62","ABUR.2",1996,2,"1996.2",1.16
"63","ABUR.2",1996,3,"1996.3",0.93
"64","ABUR.2",1996,4,"1996.4",1.44
"65","ABUR.2",1997,1,"1997.1",1.82
"66","ABUR.2",1997,2,"1997.2",1.24
"67","ABUR.2",1997,3,"1997.3",0.9
"68","ABUR.2",1997,4,"1997.4",1.67
"69","ABUR.2",1998,1,"1998.1",2.39
"70","ABUR.2",1998,2,"1998.2",1.49
"71","ABUR.2",1998,3,"1998.3",0.95
"72","ABUR.2",1998,4,"1998.4",1.26
"73","ABUR.2",1999,1,"1999.1",1.27
"74","ABUR.2",1999,2,"1999.2",1.38
"75","ABUR.2",1999,3,"1999.3",0.95
"76","ABUR.2",1999,4,"1999.4",1.04
"77","ABUR.2",2000,1,"2000.1",1.87
"78","ABUR.2",2000,2,"2000.2",1.21
"79","ABUR.2",2000,3,"2000.3",0.92
"80","ABUR.2",2000,4,"2000.4",1.18
"81","ABUR.2",2001,1,"2001.1",1.74
"82","ABUR.2",2001,2,"2001.2",1.2
"83","ABUR.2",2001,3,"2001.3",0.93
"84","ABUR.2",2001,4,"2001.4",2
"85","ABUR.2",2002,1,"2002.1",1.33
"86","ABUR.2",2002,2,"2002.2",1.14
"87","ABUR.2",2002,3,"2002.3",0.94
"88","ABUR.2",2002,4,"2002.4",1.86
"89","ABUR.2",2003,1,"2003.1",1.43
"90","ABUR.2",2003,2,"2003.2",1.11
"91","ABUR.2",2003,3,"2003.3",0.99
"92","ABUR.2",2003,4,"2003.4",1.31
"93","ABUR.2",2004,1,"2004.1",1.65
"94","ABUR.2",2004,2,"2004.2",1.28
