"","kfmid","pxid"
"1",1,21016
"2",1,21017
"3",1,21074
"4",1,21075
"5",1,21076
"6",1,21077
"7",1,21078
"8",1,21079
"9",1,21080
"10",1,21134
"11",1,21135
"12",1,21136
"13",1,21137
"14",1,21138
"15",1,21139
"16",1,21140
"17",1,21190
"18",1,21191
"19",1,21192
"20",1,21193
"21",1,21194
"22",1,21195
"23",1,21196
"24",1,21245
"25",1,21246
"26",1,21247
"27",1,21248
"28",1,21249
"29",1,21250
"30",1,21251
"31",1,21306
"32",1,21307
"33",1,21308
"34",1,21309
"35",1,21310
"36",1,21366
"37",1,21367
"38",1,21368
"39",1,21369
"40",1,21370
"41",1,21415
"42",1,21416
"43",1,21417
"44",1,21418
"45",1,21419
"46",1,21420
"47",1,21468
"48",1,21469
"49",1,21470
"50",1,21471
"51",1,21472
"52",1,21473
"53",1,21474
"54",1,21516
"55",1,21517
"56",1,21518
"57",1,21519
"58",1,21520
"59",1,21521
"60",1,21522
"61",1,21523
"62",1,21524
"63",1,21525
"64",1,21526
"65",1,21574
"66",1,21575
"67",1,21576
"68",1,21577
"69",1,21578
"70",1,21579
"71",1,21580
"72",1,21581
"73",1,21582
"74",1,21583
"75",1,21584
"76",1,21585
"77",1,21586
"78",1,21587
"79",1,21588
"80",1,21589
"81",1,21590
"82",1,21641
"83",1,21642
"84",1,21643
"85",1,21644
"86",1,21645
"87",1,21646
"88",1,21647
"89",1,21648
"90",1,21649
"91",1,21650
"92",1,21651
"93",1,21652
"94",1,21653
"95",1,21654
"96",1,21655
"97",1,21656
"98",1,21657
"99",1,21658
"100",1,21710
"101",1,21711
"102",1,21712
"103",1,21713
"104",1,21714
"105",1,21715
"106",1,21716
"107",1,21717
"108",1,21718
"109",1,21719
"110",1,21720
"111",1,21721
"112",1,21722
"113",1,21723
"114",1,21724
"115",1,21725
"116",1,21726
"117",1,21785
"118",1,21786
"119",1,21787
"120",1,21788
"121",1,21789
"122",1,21790
"123",1,21791
"124",1,21792
"125",1,21793
"126",1,21794
"127",1,21795
"128",1,21796
"129",1,21797
"130",1,21798
"131",1,21799
"132",1,21800
"133",1,21801
"134",1,21860
"135",1,21861
"136",1,21862
"137",1,21863
"138",1,21864
"139",1,21865
"140",1,21866
"141",1,21867
"142",1,21868
"143",1,21869
"144",1,21870
"145",1,21871
"146",1,21872
"147",1,21873
"148",1,21874
"149",1,21875
"150",1,21941
"151",1,21942
"152",1,21943
"153",1,21944
"154",1,21945
"155",1,21946
"156",1,21947
"157",1,21948
"158",1,21949
"159",1,21950
"160",1,21951
"161",1,21952
"162",1,21953
"163",1,21954
"164",1,21955
"165",1,21956
"166",1,22029
"167",1,22030
"168",1,22031
"169",1,22032
"170",1,22033
"171",1,22034
"172",1,22035
"173",1,22036
"174",1,22037
"175",1,22038
"176",1,22039
"177",1,22040
"178",1,22041
"179",1,22042
"180",1,22043
"181",1,22044
"182",1,22045
"183",1,22120
"184",1,22121
"185",1,22122
"186",1,22123
"187",1,22124
"188",1,22125
"189",1,22126
"190",1,22127
"191",1,22128
"192",1,22129
"193",1,22130
"194",1,22131
"195",1,22132
"196",1,22133
"197",1,22134
"198",1,22135
"199",1,22136
"200",1,22214
"201",1,22215
"202",1,22216
"203",1,22217
"204",1,22218
"205",1,22219
"206",1,22220
"207",1,22221
"208",1,22222
"209",1,22223
"210",1,22224
"211",1,22225
"212",1,22226
"213",1,22227
"214",1,22228
"215",1,22229
"216",1,22230
"217",1,22310
"218",1,22311
"219",1,22312
"220",1,22313
"221",1,22314
"222",1,22315
"223",1,22316
